records,,,,,,,,,,,,,,
4:8:2022 [anarchistposters] What Color is your Flag When it Burns? -fire-.png, Carceral Imagery: Flags  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Thin Blue Line TBL  , Elements: Fire  , Elements: miscellaneous (8),,,,,,,,,
Screen Shot 2021-10-12 at 1.28.29 PM.png,,,,,,,,,,,,,,
Screen Shot 2021-10-13 at 8.35.33 AM.png, Carceral Imagery: Chains  , Community: miscellaneous (3)  , Community: Organizations  , Community: Organizations: Black Mamas Bailout  , Geography: Knoxville  , Protests/Marches: Power Fist  , Slogans: No Jails/Bail,,,,,,,
Screen Shot 2021-10-13 at 9.01.02 AM.png, Community: Organizations: Highlander  , Elements: Earth  , Elements: Earth: Land Back/Pipelines  , Elements: miscellaneous (8)  , Geography: Appalachia  , Slogans: miscellaneous (7)  , World-building: miscellaneous (6)  , World-building: Peace,,,,,,
Screen Shot 2021-10-13 at 9.01.17 AM.png, Community: miscellaneous (3)  , Community: Organizations  , Community: Organizations: Highlander  , Elements: Earth: Land Back/Pipelines  , Elements: Fire  , Violence: Police Violence,,,,,,,,
Screen Shot 2021-10-13 at 9.01.50 AM.png, Academia: miscellaneous (4)  , Academia: UTK Campus  , Academia: UTK Campus: UT  , Affect: Humor  , Archival/Era: 2010s  , Art: Graffiti  , Art: miscellaneous (11)  , Slogans: miscellaneous (7),,,,,,
Screen Shot 2021-10-13 at 9.33.13 AM.png, Archival/Era: 2010s  , Carceral Imagery: Barb Wire/Fences/Walls  , Carceral Imagery: miscellaneous (5)  , Carceral Imagery: Police Imagery : ICE  , Protests/Marches: miscellaneous  , Violence: Police Violence,,,,,,,,
Screen Shot 2021-12-25 at 11.30.50 AM.png, Art: miscellaneous (11)  , Carceral Imagery: Prison Imagery  , Carceral Imagery: Prison Imagery: Bars  , Elements: Earth  , Elements: Earth: Growth  , Slogans: miscellaneous (7)  , Slogans: No Jails/Bail,,,,,,,
Screen Shot 2021-12-25 at 11.32.36 AM.png, Art: miscellaneous (11)  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Elements: Earth  , Elements: Earth: Growth  , Elements: miscellaneous (8)  , World-building: miscellaneous (6),,,,,,,
Screen Shot 2021-12-25 at 11.36.12 AM.png, Affect: Humor  , Art: miscellaneous (11)  , Carceral Imagery: miscellaneous (5)  , Elements: Fire  , Slogans: DDD  , Slogans: Prison Abolition,,,,,,,,
Screen Shot 2021-12-27 at 12.29.34 PM.png, Art: miscellaneous (11)  , Carceral Imagery: miscellaneous (5)  , Elements: Air  , Elements: Fire  , Elements: miscellaneous (8)  , Violence: Police Violence,,,,,,,,
Screen Shot 2021-12-27 at 12.42.35 PM.png,,,,,,,,,,,,,,
Screen Shot 2021-12-27 at 12.42.50 PM.png,,,,,,,,,,,,,,
Screen Shot 2022-01-02 at 7.08.48 PM.png, Elements: Earth  , Elements: Earth: Growth  , Infrastructure/Needs: miscellaneous (10)  , World-building: miscellaneous (6),,,,,,,,,,
Screen Shot 2022-01-02 at 7.18.56 PM.png, Elements: Earth  , Elements: Earth: Animals  , Elements: Earth: Animals: Butterflies  , Slogans: miscellaneous (7),,,,,,,,,,
Screen Shot 2022-01-10 at 1.01.20 PM.png, Affect: Humor  , Art: Graffiti  , Art: miscellaneous (11)  , Geography: Minneapolis,,,,,,,,,,
Screen Shot 2022-01-10 at 1.07.18 PM.png, Academia: miscellaneous (4)  , Academia: Scholars  , Art: miscellaneous (11)  , Art: Mural  , Community: miscellaneous (3)  , Elements: Earth  , Environment  , RJ/TJ,,,,,,
Screen Shot 2022-02-09 at 11.41.43 AM.png, Affect: Humor  , Art: miscellaneous (11)  , Art: Posters  , Labor,,,,,,,,,,
Screen Shot 2022-02-09 at 11.43.09 AM.png, Elements: Earth  , Elements: Earth: Growth  , Elements: Earth: Land Back/Pipelines  , Environment  , RJ/TJ,,,,,,,,,
Screenshot 2015-06-12 15.34.33.png, Community: miscellaneous (3)  , Community: Organizers  , Community: Schools  , Geography: Appalachia  , Geography: Knoxville,,,,,,,,,
Screenshot 2015-06-12 15.40.20.png, Community: miscellaneous (3)  , Community: Safety  , Community: Schools  , Events  , Geography: Knoxville,,,,,,,,,
Screenshot 2015-06-12 15.42.43.png, Archival/Era: 2010s  , Geography: Nashville  , Protests/Marches: miscellaneous,,,,,,,,,,,
Tattoo 2.png, Apparel/Embodiment  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Elements: Fire,,,,,,,,,,
"3_08_2022 [culturestrike] From a trickle, to a wave! -water-.png", Art: miscellaneous (11)  , Community: miscellaneous (3)  , Elements: miscellaneous (8)  , Elements: Water  , Protests/Marches: Megaphone  , Protests/Marches: miscellaneous,,,,,,,,
Background.jpg,,,,,,,,,,,,,,
dapl_protectors.jpg, Elements: Earth  , Elements: Earth: Land Back/Pipelines  , Elements: Sky/Void  , Protests/Marches: miscellaneous  , Protests/Marches: Power Fist,,,,,,,,,
PNG image 243.png, Art: miscellaneous (11)  , Art: Posters  , Elements: miscellaneous (8)  , Elements: Water  , Slogans: miscellaneous (7),,,,,,,,,
PNG image 245.png, Art: miscellaneous (11)  , Art: Mural  , Elements: Earth  , Elements: Earth: Animals  , Elements: Earth: Animals: Snake  , Elements: Water,,,,,,,,
PNG image 246.png, Elements: Water,,,,,,,,,,,,,
PNG image 247.png, Art: miscellaneous (11)  , Elements: Earth  , Elements: Earth: Animals  , Elements: Earth: Animals: Snake  , Elements: miscellaneous (8)  , Elements: Water,,,,,,,,
